sA,delta,gap,alpha,beta,Fx,Fy,Fz,ns
80.0,63.879999999999995,1.5,0,0,-34.2863,-46.3146,-59.4087,0.3
80.0,63.879999999999995,1.5,1.57,1.57,39.1629,33.7990,-27.1319,0.3
80.0,63.879999999999995,1.5,3.14,0,37.2390,-35.1737,-2.0289,0.3
80.0,63.879999999999995,1.5,0,3.14,30.0157,43.0201,-44.3051,0.3
130.0,63.879999999999995,1.5,0,0,36.2733,-55.6508,-64.3444,0.3
130.0,63.879999999999995,1.5,1.57,1.57,17.3876,1.4180,-64.3737,0.3
130.0,63.879999999999995,1.5,3.14,0,59.3160,-49.3169,8.9372,0.3
130.0,63.879999999999995,1.5,0,3.14,-91.8914,-58.4493,-29.3090,0.3
180.0,63.879999999999995,1.5,0,0,-63.9267,-33.4985,-53.8765,0.3
180.0,63.879999999999995,1.5,1.57,1.57,66.5577,-17.0245,-34.5091,0.3
180.0,63.879999999999995,1.5,3.14,0,-32.4977,46.4460,-29.8120,0.3
180.0,63.879999999999995,1.5,0,3.14,-51.0970,24.6033,-16.4564,0.3
230.0,63.879999999999995,1.5,0,0,28.7086,16.1901,-25.2742,0.3
230.0,63.879999999999995,1.5,1.57,1.57,-32.7437,-37.1648,9.6901,0.3
230.0,63.879999999999995,1.5,3.14,0,-36.0967,-40.3420,-28.4000,0.3
230.0,63.879999999999995,1.5,0,3.14,82.6150,71.8642,-46.2658,0.3
80.0,65.38,1.5,0,0,43.9166,24.6267,-92.6459,0.3
80.0,65.38,1.5,1.57,1.57,-57.7299,-15.0577,-0.2870,0.3
80.0,65.38,1.5,3.14,0,-34.0566,9.5952,-48.6907,0.3
80.0,65.38,1.5,0,3.14,14.7102,5.2648,-120.3733,0.3
130.0,65.38,1.5,0,0,-4.6996,42.9720,-17.7634,0.3
130.0,65.38,1.5,1.57,1.57,-34.8242,1.1509,-15.8076,0.3
130.0,65.38,1.5,3.14,0,29.3321,0.5019,-26.6005,0.3
130.0,65.38,1.5,0,3.14,70.2639,-30.8539,-47.7527,0.3
180.0,65.38,1.5,0,0,-4.5750,-2.0166,20.5484,0.3
180.0,65.38,1.5,1.57,1.57,-9.5001,-3.7970,38.5978,0.3
180.0,65.38,1.5,3.14,0,-17.9745,-39.4096,8.7027,0.3
180.0,65.38,1.5,0,3.14,16.3721,5.9740,-19.9875,0.3
230.0,65.38,1.5,0,0,15.9060,-20.1513,8.8318,0.3
230.0,65.38,1.5,1.57,1.57,43.1292,0.3289,-9.4910,0.3
230.0,65.38,1.5,3.14,0,-23.4208,53.2481,15.2351,0.3
230.0,65.38,1.5,0,3.14,4.8292,54.6321,-6.1775,0.3
80.0,66.88,1.5,0,0,37.1998,77.0956,35.5507,0.3
80.0,66.88,1.5,1.57,1.57,-71.0325,35.0126,8.9391,0.3
80.0,66.88,1.5,3.14,0,-4.0073,7.6027,-117.3742,0.3
80.0,66.88,1.5,0,3.14,3.5683,-6.3239,-29.2689,0.3
130.0,66.88,1.5,0,0,30.7009,-15.6550,10.0879,0.3
130.0,66.88,1.5,1.57,1.57,-79.0142,7.6833,-21.3580,0.3
130.0,66.88,1.5,3.14,0,-49.5032,-93.7108,-39.7538,0.3
130.0,66.88,1.5,0,3.14,-23.0770,49.3732,-57.6396,0.3
180.0,66.88,1.5,0,0,21.5834,-39.9173,-69.1169,0.3
180.0,66.88,1.5,1.57,1.57,-61.9110,-7.3287,-53.7037,0.3
180.0,66.88,1.5,3.14,0,-41.6785,-1.5550,-2.9981,0.3
180.0,66.88,1.5,0,3.14,-73.4678,29.8474,-19.9231,0.3
230.0,66.88,1.5,0,0,5.0723,27.3758,11.6376,0.3
230.0,66.88,1.5,1.57,1.57,-65.2765,23.1331,-16.7314,0.3
230.0,66.88,1.5,3.14,0,-0.3995,-1.5134,23.1664,0.3
230.0,66.88,1.5,0,3.14,-46.1001,0.4953,67.1793,0.3
80.0,68.38,1.5,0,0,-112.6208,17.9165,42.8963,0.3
80.0,68.38,1.5,1.57,1.57,20.6957,-40.3940,-34.4801,0.3
80.0,68.38,1.5,3.14,0,-62.6807,-39.2245,-36.3154,0.3
80.0,68.38,1.5,0,3.14,10.3605,-62.1858,19.2025,0.3
130.0,68.38,1.5,0,0,65.3248,81.3774,-19.0890,0.3
130.0,68.38,1.5,1.57,1.57,7.2010,-1.4777,76.7139,0.3
130.0,68.38,1.5,3.14,0,1.0954,-14.3282,-35.1187,0.3
130.0,68.38,1.5,0,3.14,-28.8201,-17.0295,14.6870,0.3
180.0,68.38,1.5,0,0,38.0295,-3.5442,-47.6130,0.3
180.0,68.38,1.5,1.57,1.57,-60.3533,39.9690,-39.4867,0.3
180.0,68.38,1.5,3.14,0,55.6252,-12.4405,-20.2180,0.3
180.0,68.38,1.5,0,3.14,-68.1331,-41.5135,-47.7130,0.3
230.0,68.38,1.5,0,0,-6.3272,-57.5239,-2.8751,0.3
230.0,68.38,1.5,1.57,1.57,31.7892,-3.8344,-29.6170,0.3
230.0,68.38,1.5,3.14,0,-65.8416,16.0320,-25.3048,0.3
230.0,68.38,1.5,0,3.14,13.2347,16.8701,1.1799,0.3
80.0,69.88,1.5,0,0,21.5475,28.1085,-33.3573,0.3
80.0,69.88,1.5,1.57,1.57,-83.0120,-47.0016,-75.4533,0.3
80.0,69.88,1.5,3.14,0,-75.2943,-0.7983,20.9087,0.3
80.0,69.88,1.5,0,3.14,-42.1873,16.4335,-28.7704,0.3
130.0,69.88,1.5,0,0,43.7036,-21.3601,-2.5101,0.3
130.0,69.88,1.5,1.57,1.57,-53.5872,-53.5932,-65.8722,0.3
130.0,69.88,1.5,3.14,0,-0.7365,6.1640,-9.8233,0.3
130.0,69.88,1.5,0,3.14,19.7108,8.9379,-69.9606,0.3
180.0,69.88,1.5,0,0,22.4776,-27.5774,-73.9952,0.3
180.0,69.88,1.5,1.57,1.57,-17.6842,-20.4494,-93.8166,0.3
180.0,69.88,1.5,3.14,0,-112.3928,-7.8482,-65.3348,0.3
180.0,69.88,1.5,0,3.14,-14.9590,37.1573,10.5050,0.3
230.0,69.88,1.5,0,0,9.8574,17.5616,9.6164,0.3
230.0,69.88,1.5,1.57,1.57,-12.4763,32.9632,-59.2493,0.3
