sA,delta,gap,alpha,beta,tilt,Fx,Fy,Fz,Tx,ns
80.0,66.88,1.5,0.0,0.0,0.0,9.6850,4.2260,-16.6310,-3.0275,1.0
80.0,66.88,6.0,0.0,0.0,0.0,8.1348,2.5774,-1.6339,2.9734,1.0
80.0,66.88,1.5,0.0,0.0,0.087,14.0069,1.0911,-17.3743,15.3233,1.0
80.0,66.88,6.0,0.0,0.0,0.087,9.2342,5.5934,-5.2285,5.8950,1.0
80.0,66.88,1.5,0.0,0.0,0.175,-23.6358,22.5149,-16.5835,7.0099,1.0
80.0,66.88,6.0,0.0,0.0,0.175,-7.7028,0.9135,-11.2930,-2.7048,1.0
80.0,66.88,1.5,0.0,0.0,0.349,8.9957,2.7257,-20.3924,17.4389,1.0
80.0,66.88,6.0,0.0,0.0,0.349,6.5908,0.7813,-11.7019,13.5827,1.0
80.0,66.88,1.5,0.0,0.0,0.785,-3.0715,8.5853,-1.0447,3.9662,1.0
80.0,66.88,6.0,0.0,0.0,0.785,-11.1865,13.0213,-13.0072,-14.9197,1.0
80.0,66.88,1.5,0.0,0.0,1.571,0.3280,12.3297,-1.0718,15.3919,1.0
80.0,66.88,6.0,0.0,0.0,1.571,6.3099,24.6743,-2.5092,-5.1652,1.0
80.0,66.88,1.5,1.57,1.57,0.0,-35.0030,-12.5510,-17.8423,0.4005,1.0
80.0,66.88,6.0,1.57,1.57,0.0,-5.7531,-1.9904,-11.7302,-21.3929,1.0
80.0,66.88,1.5,1.57,1.57,0.087,-44.3843,0.9017,-4.3163,-13.5715,1.0
80.0,66.88,6.0,1.57,1.57,0.087,-5.5740,2.1704,-18.3156,-10.2458,1.0
80.0,66.88,1.5,1.57,1.57,0.175,-42.9918,20.0793,-3.9793,-25.5887,1.0
80.0,66.88,6.0,1.57,1.57,0.175,-8.6643,8.8082,-7.7715,7.3188,1.0
80.0,66.88,1.5,1.57,1.57,0.349,22.1305,19.8596,-5.3953,-7.1404,1.0
80.0,66.88,6.0,1.57,1.57,0.349,-10.1767,16.1817,-11.0791,-9.4486,1.0
80.0,66.88,1.5,1.57,1.57,0.785,-66.6865,0.6049,12.9535,7.8600,1.0
80.0,66.88,6.0,1.57,1.57,0.785,-9.5408,3.1364,-7.3026,11.2340,1.0
80.0,66.88,1.5,1.57,1.57,1.571,-18.5123,5.7144,-1.2829,10.1896,1.0
80.0,66.88,6.0,1.57,1.57,1.571,-10.8630,-0.1926,0.0006,27.5262,1.0
180.0,66.88,1.5,0.0,0.0,0.0,2.0827,-8.2950,-14.7163,-1.1021,1.0
180.0,66.88,6.0,0.0,0.0,0.0,-13.1206,2.2086,-16.0753,4.1870,1.0
180.0,66.88,1.5,0.0,0.0,0.087,-16.8417,32.4173,-8.1330,-26.0753,1.0
180.0,66.88,6.0,0.0,0.0,0.087,-4.1838,-7.2438,-6.9544,1.2864,1.0
180.0,66.88,1.5,0.0,0.0,0.175,-4.1564,-3.5252,-9.2813,8.6820,1.0
180.0,66.88,6.0,0.0,0.0,0.175,-0.6364,-8.1967,-11.8340,-4.7825,1.0
180.0,66.88,1.5,0.0,0.0,0.349,16.3470,1.7087,-0.1509,14.3491,1.0
180.0,66.88,6.0,0.0,0.0,0.349,0.3844,-4.3138,3.1572,1.9645,1.0
180.0,66.88,1.5,0.0,0.0,0.785,3.3448,15.5136,-6.0062,2.3571,1.0
180.0,66.88,6.0,0.0,0.0,0.785,7.3517,8.0648,-11.1102,4.3211,1.0
180.0,66.88,1.5,0.0,0.0,1.571,17.9457,6.7480,3.8862,2.6856,1.0
180.0,66.88,6.0,0.0,0.0,1.571,9.9844,11.9123,-5.3094,18.8686,1.0
180.0,66.88,1.5,1.57,1.57,0.0,1.0120,3.8165,-13.3206,-41.5474,1.0
180.0,66.88,6.0,1.57,1.57,0.0,-2.1373,3.6148,-13.9492,-14.3027,1.0
180.0,66.88,1.5,1.57,1.57,0.087,-49.1432,2.9961,14.3259,-3.4910,1.0
180.0,66.88,6.0,1.57,1.57,0.087,-9.4004,15.1562,-12.7925,6.9541,1.0
180.0,66.88,1.5,1.57,1.57,0.175,-17.8909,6.0146,5.2061,-7.2623,1.0
180.0,66.88,6.0,1.57,1.57,0.175,9.1041,6.6244,-16.3275,4.0510,1.0
180.0,66.88,1.5,1.57,1.57,0.349,6.2745,2.6915,-15.1005,-0.8200,1.0
180.0,66.88,6.0,1.57,1.57,0.349,-1.4900,7.2342,-7.7453,6.4848,1.0
180.0,66.88,1.5,1.57,1.57,0.785,-11.2905,13.7118,-0.5812,8.6229,1.0
180.0,66.88,6.0,1.57,1.57,0.785,10.4713,3.9363,-5.3402,2.4690,1.0
180.0,66.88,1.5,1.57,1.57,1.571,-1.6913,18.9324,-5.0740,-2.4671,1.0
180.0,66.88,6.0,1.57,1.57,1.571,1.4171,-2.9445,1.8839,-28.4130,1.0
180.0,133.76,1.5,0.0,0.0,0.0,19.9465,1.4669,-8.3920,-6.7009,1.0
180.0,133.76,6.0,0.0,0.0,0.0,12.2786,0.5039,-12.7864,-7.7199,1.0
180.0,133.76,1.5,0.0,0.0,0.087,3.7588,5.8316,-13.6358,10.5936,1.0
180.0,133.76,6.0,0.0,0.0,0.087,1.8655,15.6424,-8.1138,5.4705,1.0
180.0,133.76,1.5,0.0,0.0,0.175,2.8864,6.7119,-7.9967,7.2112,1.0
180.0,133.76,6.0,0.0,0.0,0.175,7.1017,2.3269,-5.2320,-11.8810,1.0
180.0,133.76,1.5,0.0,0.0,0.349,21.6671,8.9278,-4.9325,17.1502,1.0
180.0,133.76,6.0,0.0,0.0,0.349,-1.2113,0.6456,5.1641,-4.3477,1.0
180.0,133.76,1.5,0.0,0.0,0.785,13.3615,-1.9214,0.7696,0.2092,1.0
180.0,133.76,6.0,0.0,0.0,0.785,-5.7590,4.9541,-4.1688,-13.0030,1.0
180.0,133.76,1.5,0.0,0.0,1.571,-7.1443,8.7071,18.6324,4.9861,1.0
180.0,133.76,6.0,0.0,0.0,1.571,0.8449,8.7288,-4.2202,2.0868,1.0
180.0,133.76,1.5,1.57,1.57,0.0,-9.1553,5.9882,-17.2344,-3.1806,1.0
180.0,133.76,6.0,1.57,1.57,0.0,-2.6709,-5.6897,-0.7866,-4.9618,1.0
180.0,133.76,1.5,1.57,1.57,0.087,-9.5561,-15.6398,-15.0207,5.8174,1.0
180.0,133.76,6.0,1.57,1.57,0.087,-4.7412,3.4764,4.4851,5.5024,1.0
180.0,133.76,1.5,1.57,1.57,0.175,-4.2188,-0.8782,-8.1699,10.0968,1.0
180.0,133.76,6.0,1.57,1.57,0.175,12.6918,2.4721,-0.7253,1.9123,1.0
180.0,133.76,1.5,1.57,1.57,0.349,12.3995,-8.6309,-4.2920,-1.6240,1.0
180.0,133.76,6.0,1.57,1.57,0.349,-11.1007,1.2415,-3.7979,-4.3683,1.0
180.0,133.76,1.5,1.57,1.57,0.785,18.7785,-2.2351,-15.2667,3.1770,1.0
180.0,133.76,6.0,1.57,1.57,0.785,-5.1051,4.3162,-4.5938,-6.4143,1.0
180.0,133.76,1.5,1.57,1.57,1.571,6.4525,10.5741,-2.3859,1.1761,1.0
180.0,133.76,6.0,1.57,1.57,1.571,-18.3357,2.6102,-10.2875,-4.4944,1.0
