sA,delta,gap,alpha,beta,tilt,rep,Fx,Fy,Fz,Tx,ns
80.0,66.88,1.5,1.57,1.57,0.0,0,-20.9368,-1.3723,-15.6247,-1.0847,2.0
80.0,66.88,1.5,1.57,1.57,0.0,1,-38.7165,1.5591,-0.3789,-13.3086,2.0
80.0,66.88,1.5,1.57,1.57,0.0,2,-15.5332,-5.5844,-9.5751,-8.0674,2.0
80.0,66.88,1.5,1.57,1.57,0.087,0,-39.0536,-0.6716,-15.5024,-16.8251,2.0
80.0,66.88,1.5,1.57,1.57,0.087,1,-19.1567,-12.1200,1.5969,-16.0063,2.0
80.0,66.88,1.5,1.57,1.57,0.087,2,-31.4393,-18.6914,-17.0009,-21.9709,2.0
80.0,66.88,1.5,1.57,1.57,0.175,0,-57.4980,19.6874,4.8565,-0.4445,2.0
80.0,66.88,1.5,1.57,1.57,0.175,1,-37.5553,-10.8669,-19.1912,-30.6884,2.0
80.0,66.88,1.5,1.57,1.57,0.175,2,-15.1710,-9.9521,1.1468,-5.4086,2.0
80.0,66.88,1.5,1.57,1.57,0.262,0,1.4955,-0.0152,0.1199,-22.1022,2.0
80.0,66.88,1.5,1.57,1.57,0.262,1,-3.9180,-8.5886,-12.8824,-21.9140,2.0
80.0,66.88,1.5,1.57,1.57,0.262,2,8.5127,-6.7748,-1.9997,-4.4645,2.0
80.0,66.88,6.0,1.57,1.57,0.262,0,-7.6262,-4.0298,-9.5010,-4.6242,2.0
80.0,66.88,1.5,1.57,1.57,0.349,0,16.0671,4.6026,-6.5628,-4.8978,2.0
80.0,66.88,1.5,1.57,1.57,0.349,1,-4.7157,-12.6114,-2.0511,-12.8361,2.0
80.0,66.88,1.5,1.57,1.57,0.349,2,-16.6640,-4.5110,15.0624,-5.4740,2.0
80.0,66.88,1.5,1.57,1.57,0.524,0,-34.9742,15.5671,30.5464,4.4801,2.0
80.0,66.88,1.5,1.57,1.57,0.524,1,-7.9719,16.0845,4.0292,14.4194,2.0
80.0,66.88,1.5,1.57,1.57,0.524,2,-20.5669,21.6112,17.9192,14.1808,2.0
80.0,66.88,6.0,1.57,1.57,0.524,0,-0.9820,2.8778,-4.4943,-2.8409,2.0
180.0,133.76,1.5,1.57,1.57,0.0,0,-1.8204,1.4617,-3.5440,14.3657,2.0
180.0,133.76,1.5,1.57,1.57,0.0,1,-9.4021,2.6908,-5.2498,-1.9025,2.0
180.0,133.76,1.5,1.57,1.57,0.0,2,-7.5012,-4.5219,-5.8767,-5.8665,2.0
180.0,133.76,1.5,1.57,1.57,0.087,0,-9.3363,-3.3280,-6.7470,10.2205,2.0
180.0,133.76,1.5,1.57,1.57,0.087,1,4.3701,3.9463,-11.4955,-1.7860,2.0
180.0,133.76,1.5,1.57,1.57,0.087,2,-9.0214,-3.6686,-7.9517,7.2827,2.0
180.0,133.76,1.5,1.57,1.57,0.175,0,-1.6832,3.0606,-10.6923,-1.9536,2.0
180.0,133.76,1.5,1.57,1.57,0.175,1,0.0363,3.8418,-1.6379,-4.7511,2.0
180.0,133.76,1.5,1.57,1.57,0.175,2,-0.1484,-5.3630,-3.2990,10.1921,2.0
180.0,133.76,1.5,1.57,1.57,0.262,0,5.0482,6.3932,-8.7554,-1.7615,2.0
180.0,133.76,1.5,1.57,1.57,0.262,1,-0.7879,9.4143,1.0069,-5.1001,2.0
180.0,133.76,1.5,1.57,1.57,0.262,2,3.3897,-0.6258,-4.5561,10.3122,2.0
180.0,133.76,6.0,1.57,1.57,0.262,0,-1.4172,12.8915,-5.9670,4.0529,2.0
180.0,133.76,1.5,1.57,1.57,0.349,0,8.2605,3.3948,-4.6891,-5.3271,2.0
180.0,133.76,1.5,1.57,1.57,0.349,1,10.7123,1.8311,0.7286,-11.0973,2.0
180.0,133.76,1.5,1.57,1.57,0.349,2,16.0405,3.4038,10.1562,8.9441,2.0
180.0,133.76,1.5,1.57,1.57,0.524,0,-5.9208,10.5301,-1.3716,-3.6830,2.0
180.0,133.76,1.5,1.57,1.57,0.524,1,6.4027,0.6267,-1.9912,-13.9399,2.0
180.0,133.76,1.5,1.57,1.57,0.524,2,-3.2400,-4.8312,-11.3350,10.6901,2.0
180.0,133.76,6.0,1.57,1.57,0.524,0,-6.0019,2.2499,-0.7343,8.4090,2.0
